,Номер паспорта,Фамилия,Имя,Отчество,Дата рождения,Пол,Год получения прав,КП во время учёбы,Количество попыток сдачи эказмена,Название автошколы,Код региона получения прав
523,1693374066,Авдеева,Татьяна,Борисовна,1960-03-24,Ж,1985,M,5,Водитель,28
524,3608083244,Соколова,Любовь,Вениаминовна,1993-02-11,Ж,2014,M,4,Курсант,21
525,3707236971,Анисимов,Эдуард,Дорофеевич,1964-09-11,М,2015,M,3,Вулкан,70
526,4260868814,Титова,Таисия,Дмитриевна,2003-07-18,Ж,2021,M,1,Умный водитель,36
527,1036807905,Матвеев,Азарий,Теймуразович,1988-12-31,М,2019,M,2,Автобан,72
528,6824344786,Михеева,Лидия,Аркадьевна,1967-08-05,Ж,2004,M,5,Зебра,15
529,6972727794,Емельянов,Ермил,Тарасович,1951-03-13,М,1969,А,2,Физика вождения,70
530,5807340665,Елисеева,Алевтина,Ивановна,1964-03-28,Ж,1993,M,1,Дюк,72
531,6443788230,Гусев,Евграф,Евсеевич,1994-06-25,М,2017,M,2,Ермак,78
532,2879634107,Горбунова,Нинель,Игоревна,1971-05-04,Ж,2014,M,5,Авто-Импульс,57
533,9894194370,Виноградова,Октябрина,Юльевна,1980-06-21,Ж,2008,А,1,Новый вираж,67
534,0382208292,Емельянов,Адриан,Богданович,1995-04-02,М,2015,А,4,Автокласс,14
535,3308310186,Лебедев,Устин,Вячеславович,1995-03-30,М,2019,А,5,Знак,69
536,6391033854,Мельникова,Агата,Васильевна,1997-02-03,Ж,2018,M,3,Шанс,2
537,7911667891,Дементьева,Антонина,Святославовна,1989-03-08,Ж,2011,M,1,Водитель,12
538,4411479513,Чернов,Аникей,Викторович,1998-03-21,М,2016,M,3,Драйвин,12
539,7464562608,Ларионов,Виталий,Адрианович,2001-01-05,М,2021,M,2,Фаворит,2
540,4526264793,Гордеев,Фадей,Гертрудович,1962-01-02,М,1995,А,5,Продвинутый водитель,68
541,0193309904,Белова,Таисия,Тимуровна,1972-08-07,Ж,2013,M,2,Автокласс,10
542,4836284375,Федотов,Артемий,Тимурович,1953-10-21,М,1977,А,2,Автоправо,26
543,1956895207,Сысоева,Людмила,Оскаровна,1980-03-24,Ж,2019,А,5,Три педали,69
544,4067227468,Павлов,Роман,Устинович,1991-11-10,М,2019,M,5,Штурман,75
545,8485773992,Данилова,Алла,Олеговна,1992-12-30,Ж,2010,А,1,Пора за руль,77
546,6198326623,Исаева,Агафья,Руслановна,1957-03-03,Ж,1991,А,1,Золотой руль,63
547,8454589000,Лаврентьева,Октябрина,Аскольдовна,1975-11-24,Ж,2000,А,1,Автоэлита,45
548,3003861538,Панова,Лора,Наумовна,1987-05-17,Ж,2021,M,1,Зеленая миля,43
549,9478255213,Аксенова,Элеонора,Оскаровна,1970-01-10,Ж,2018,А,3,Курсор,67
550,4050638157,Моисеева,Акулина,Вениаминовна,1984-09-03,Ж,2005,А,2,Курсор,22
551,8650160477,Мухина,Василиса,Павловна,1998-03-12,Ж,2016,А,2,АвтоАс,54
552,3059401877,Коновалов,Святополк,Ермолаевич,1962-11-11,М,1989,А,3,Шанс,2
553,1592843362,Михеев,Феликс,Ефимьевич,1978-12-28,М,2005,А,3,Клаксон,7
554,3653457158,Романова,Алевтина,Федоровна,1991-07-03,Ж,2012,А,2,Минуэт,76
555,3403506877,Кузнецов,Иосиф,Григорьевич,1986-01-13,М,2016,А,5,Минуэт,59
556,0032662915,Гордеев,Максимильян,Ермолаевич,1989-06-22,М,2009,А,5,Автофакультет,54
557,6506853230,Кошелев,Савватий,Тарасович,1992-10-26,М,2020,M,3,Автоправо,29
558,5753583564,Ильина,Вера,Яковлевна,1964-11-19,Ж,2021,M,4,Старт,44
559,6533381807,Маслов,Сила,Ааронович,2000-11-23,М,2018,А,1,Город,44
560,6409084181,Мельникова,Лора,Леоновна,1954-09-17,Ж,2014,А,1,Золотой руль,73
561,7579068836,Маркова,Анжелика,Рубеновна,1970-05-31,Ж,2010,M,5,Автогалактика,20
562,2282703844,Никифоров,Мина,Артурович,1958-08-16,М,2012,M,3,Автоновичок,64
563,1433526561,Лебедев,Яков,Ермолаевич,1959-01-04,М,2005,M,5,Автостарт,29
564,7984515910,Кириллов,Лавр,Викторович,1994-05-10,М,2016,А,3,Вектор,42
565,0484912965,Белозерова,Вера,Натановна,1957-01-05,Ж,1989,M,1,Филин,71
566,3978945055,Виноградов,Вячеслав,Всеволодович,1994-02-08,М,2017,M,4,Шанс,77
567,3122013549,Федосеев,Куприян,Викентьевич,1965-09-30,М,1988,M,5,Лучший водитель,12
568,4142117743,Горшкова,Екатерина,Ефимовна,1977-12-28,Ж,2008,А,2,Авто-Лада,51
569,5177877448,Константинова,Евдокия,Алексеевна,1976-03-07,Ж,2020,А,5,Водитель,57
570,5587079615,Горшкова,Алевтина,Петровна,1982-05-24,Ж,2008,А,4,Перекресток,5
571,5274231028,Виноградова,Маргарита,Георгиевна,1982-06-01,Ж,2007,M,1,Садовое Кольцо,40
572,2546695125,Фокин,Амвросий,Бориславович,1962-09-09,М,2000,M,2,Сириус,54
573,0197279166,Никитин,Федор,Харлампович,1977-08-10,М,1996,M,5,Водитель,76
574,4415714784,Шарапова,Пелагея,Аскольдовна,1950-12-06,Ж,1988,M,2,Курсор,23
575,9522889502,Федотов,Фотий,Бенедиктович,2001-06-18,М,2021,M,2,Антей,79
576,4673367809,Кириллов,Эммануил,Тимурович,1994-10-12,М,2015,А,3,Автоправо,17
577,6923465906,Федотов,Нифонт,Жоресович,1999-04-08,М,2018,M,2,Жигули,56
578,7241584195,Шарапов,Давыд,Ярославович,1982-10-05,М,2006,M,3,Азбука вождения,16
579,4828068939,Бобылев,Евграф,Ефимьевич,1958-10-26,М,1977,M,5,Автодрайвер,7
580,5623290226,Якушева,Ирина,Николаевна,1975-01-17,Ж,2020,M,4,За рулем,92
581,9494101334,Максимов,Фотий,Бориславович,1951-01-27,М,2018,M,2,Орлан,32
582,6890477863,Власова,Таисия,Евгеньевна,2000-03-26,Ж,2019,А,4,Новичок,77
583,2862794344,Белякова,Зинаида,Игоревна,1951-06-10,Ж,1997,M,2,Новичок,69
584,4446399590,Моисеева,Евдокия,Алексеевна,1956-06-07,Ж,2005,А,5,Эстакада,57
585,0923682202,Калашников,Карп,Филимонович,1967-11-25,М,2005,А,2,Мустанг,38
586,3366763126,Носков,Вышеслав,Анисимович,1980-12-09,М,2012,А,5,Магистраль,5
587,4825791881,Дорофеева,Зинаида,Геннадьевна,1971-10-24,Ж,1994,M,5,Молния,54
588,9006312075,Абрамов,Архип,Ермолаевич,1978-06-16,М,2017,M,1,Ралли Шоп,63
589,6508044802,Шаров,Эрнст,Алексеевич,1970-02-16,М,2019,M,5,Формула-1,26
590,0033168397,Алексеева,Тамара,Аскольдовна,1984-09-10,Ж,2020,А,2,Формула скорости,32
591,3778162486,Никифоров,Эммануил,Зиновьевич,1985-09-03,М,2017,А,4,Автоотличник,5
592,5037331017,Никонов,Самсон,Марсович,1960-05-03,М,1984,А,4,Автофактор,56
593,2574434222,Копылова,Татьяна,Альбертовна,1959-06-27,Ж,2017,А,3,100 дорог,73
594,4489726648,Колобов,Вышеслав,Елисеевич,1954-04-29,М,1976,А,3,Юность,19
595,7438070057,Шаров,Куприян,Иосипович,1993-05-13,М,2019,А,1,Фортуна,40
596,8359888375,Белозеров,Андрей,Владиленович,1969-02-24,М,1998,А,3,Перспектива,23
597,3403186146,Рыбаков,Тихон,Феликсович,1980-09-11,М,2020,А,2,Прайм-Авто,53
598,7061299862,Потапов,Евлампий,Харлампьевич,1988-05-01,М,2006,M,1,Фаворит,23
599,4056119142,Романова,Акулина,Михайловна,1963-02-01,Ж,2001,А,1,Дело,61
600,8302003578,Шашкова,Вера,Наумовна,1966-12-15,Ж,1999,А,3,Ягуар,68
601,4869502400,Юдин,Назар,Данилович,1962-10-28,М,2002,M,1,Победа,51
602,3241845643,Ильина,Наина,Вячеславовна,1983-07-23,Ж,2005,А,3,Драйвин,68
603,4841690847,Молчанова,Нонна,Натановна,1983-03-01,Ж,2005,M,4,Зеленый свет,56
604,3349636835,Филатов,Галактион,Теймуразович,1985-09-17,М,2009,А,1,Пора за руль,13
605,8086959204,Потапов,Ираклий,Владиленович,1997-01-20,М,2018,А,3,Автоотличник,8
606,1472711244,Кошелев,Адам,Андреевич,1970-06-07,М,1994,А,1,Вираж,83
607,9125838260,Григорьев,Роман,Теймуразович,1962-07-31,М,1987,M,2,Мир,20
608,6950214997,Петухов,Фортунат,Фомич,1994-05-15,М,2013,А,2,Прайм-Авто,73
609,9438174339,Орлов,Михаил,Филимонович,1993-04-05,М,2016,M,5,Автоправо,46
610,6681120072,Виноградов,Савелий,Измаилович,1958-01-25,М,2019,А,1,Профессионал,75
611,3970982039,Титова,Лариса,Аркадьевна,1989-07-05,Ж,2007,А,4,Юность,11
612,7542866706,Королева,Мария,Семеновна,2001-06-25,Ж,2019,А,1,Престиж,91
613,9673630773,Гурьев,Осип,Иларионович,1986-06-02,М,2019,А,1,Вулкан,99
614,3933961645,Трофимов,Ладислав,Димитриевич,1986-12-08,М,2007,M,2,Сириус,12
615,9987818543,Зуева,Олимпиада,Кузьминична,1962-06-07,Ж,2020,А,2,100 дорог,89
616,9051155394,Одинцов,Юрий,Владиславович,1982-07-28,М,2018,А,1,Автофакультет,14
617,0516538024,Потапов,Прохор,Ермолаевич,1997-09-05,М,2018,А,1,Первоклассная,58
618,9128103836,Захарова,Евпраксия,Петровна,1987-06-16,Ж,2014,M,2,Автоотличник,42
619,0737278996,Турова,Тамара,Григорьевна,1951-06-12,Ж,1979,А,1,Вулкан,59
620,7871101541,Суханов,Борис,Артемьевич,1979-04-08,М,2020,M,4,Хочу рулить,1
621,1729461471,Степанова,Марфа,Леонидовна,1965-07-28,Ж,2021,А,5,Восток-ралли,13
622,8764380225,Беляев,Викторин,Ааронович,1989-09-02,М,2020,А,2,Фаворит,5
623,5409700764,Савин,Нестор,Ермилович,1978-04-04,М,2009,А,3,Близкое расстояние,32
624,7866537963,Якушев,Спартак,Игнатьевич,1960-11-09,М,1978,А,2,Правый руль,7
625,4056344139,Елисеев,Лука,Антонович,2001-01-23,М,2021,А,1,Дорожная Азбука,21
626,0275329348,Терентьев,Константин,Еремеевич,1986-03-25,М,2018,M,3,Бумер,11
627,8371757061,Симонов,Евсей,Гертрудович,1951-09-28,М,2001,M,4,Автолицей,57
628,3632886423,Богданова,Агата,Тарасовна,1961-03-02,Ж,2003,А,1,Нужный шаг,41
629,3275508680,Стрелков,Савва,Артурович,1995-05-08,М,2014,M,4,Фаворит,35
630,0419535168,Герасимов,Аникита,Ефимович,1953-03-06,М,2000,M,1,Зеленая волна,62
631,2499894491,Лазарев,Сократ,Геннадиевич,1971-05-05,М,1997,А,5,Авто-Лада,87
632,5208505949,Жданова,Елизавета,Кирилловна,1990-07-23,Ж,2008,А,3,Учебка,20
633,5414295922,Гришина,Ираида,Богдановна,1981-05-12,Ж,2011,M,4,Практика,31
634,8346315516,Тимофеева,Агата,Леоновна,1958-12-25,Ж,1994,M,3,Приоритет,77
635,2517541666,Никонова,Иванна,Сергеевна,1950-11-02,Ж,2000,M,3,Восход,33
636,5413666369,Цветкова,Лариса,Ждановна,1985-10-02,Ж,2005,M,5,Движение,40
637,9167693851,Богданов,Геннадий,Теймуразович,2000-04-01,М,2018,А,1,А-Класс,60
638,2153652029,Селезнев,Орест,Еремеевич,1967-04-23,М,1994,А,1,Жигули,48
639,0691102548,Яковлев,Велимир,Марсович,1999-03-30,М,2020,А,1,Максима,69
640,3600458662,Аксенов,Дмитрий,Устинович,2001-08-24,М,2021,M,3,Приоритет,8
641,1846670624,Молчанова,Ия,Эдуардовна,1982-05-07,Ж,2006,M,2,Новичок,15
642,7611154496,Белякова,Фаина,Анатольевна,1998-07-17,Ж,2021,M,5,Гарант,10
643,8861006751,Герасимова,Глафира,Филипповна,1981-02-17,Ж,2003,А,3,Восток,79
644,5011604967,Ефимова,Варвара,Георгиевна,1990-06-28,Ж,2008,M,3,Молодость,61
645,7821041047,Галкин,Харитон,Григорьевич,1953-03-06,М,1975,M,2,Аверс,18
646,5823631668,Горбунова,Эмилия,Леоновна,1972-06-04,Ж,2000,А,5,Авто-Механика,92
647,1199566727,Силина,Регина,Эльдаровна,1966-02-23,Ж,1984,А,1,Максима,72
648,4340883851,Турова,Евгения,Болеславовна,2001-05-01,Ж,2019,А,3,Леди Моторс,54
649,3997130540,Владимиров,Серафим,Георгиевич,1976-09-24,М,1995,M,3,Минуэт,61
650,0605409236,Попов,Виталий,Давидович,1983-08-21,М,2021,M,4,Луч,11
651,8536810710,Медведев,Селиверст,Чеславович,1998-02-15,М,2017,M,2,Чайка,76
652,6959528900,Зимин,Олег,Борисович,1992-01-28,М,2015,А,3,Хайвэй,29
653,3150185298,Киселева,Нина,Павловна,1956-09-22,Ж,1991,А,5,Главная дорога,7
654,5997562272,Чернова,Елизавета,Антоновна,1979-08-20,Ж,2013,M,4,Форсаж,24
655,8901071678,Лихачева,Эмилия,Александровна,1960-03-21,Ж,2014,А,5,Армада,47
656,5588269174,Мясникова,Надежда,Геннадиевна,1984-10-12,Ж,2018,А,3,Азбука вождения,16
657,1364262066,Попова,Марина,Даниловна,1976-12-18,Ж,1995,M,3,Пора за руль,5
658,3606508037,Филиппов,Павел,Адамович,1992-09-29,М,2013,А,5,Победа,39
659,0419343987,Рогова,Екатерина,Робертовна,1962-10-10,Ж,2005,M,5,Автокласс,55
660,8650661394,Беспалова,Марфа,Захаровна,1963-09-30,Ж,1986,А,2,Три педали,3
661,7781293304,Романов,Харлампий,Евсеевич,1987-09-11,М,2017,M,5,Маршрут,56
662,2965494640,Игнатьева,Анна,Архиповна,1951-02-20,Ж,2002,А,5,Зеленый свет,83
663,1429263603,Вишнякова,Ираида,Петровна,1964-01-04,Ж,1982,А,5,Формула-1,17
664,0360170360,Бобылев,Софон,Ерофеевич,1983-11-14,М,2011,А,3,Фаворит,66
665,4668183046,Морозов,Милан,Артёмович,1962-07-22,М,2019,M,5,Нужный шаг,9
666,8269989402,Макарова,Нинель,Вячеславовна,1971-01-18,Ж,1998,А,3,Малина,52
667,8567284916,Щербакова,Глафира,Эдуардовна,1958-11-27,Ж,2006,M,1,Автокласс,1
668,7092098904,Брагина,Анжела,Романовна,1951-04-24,Ж,1991,M,3,Импульс,6
669,6593222922,Богданов,Ратмир,Давыдович,1994-06-10,М,2017,M,1,Цифры,23
670,6234390621,Носкова,Галина,Андреевна,1996-12-16,Ж,2016,M,4,Новичок,77
671,0542467798,Агафонова,Валерия,Ильинична,1961-11-02,Ж,2002,А,1,Восток,39
672,0978686578,Михеева,Элеонора,Ефимовна,1954-09-21,Ж,1973,M,1,Автомаг,66
673,9795171992,Федорова,Элеонора,Евгеньевна,1991-02-20,Ж,2011,M,4,Автобан,54
674,7594423016,Одинцова,Евдокия,Тарасовна,1992-04-12,Ж,2020,M,4,Престиж,16
675,7835576089,Рыбаков,Изот,Григорьевич,1963-02-12,М,1982,M,1,Азбука дорог,9
676,6564138630,Игнатова,Людмила,Эльдаровна,1979-07-17,Ж,2012,M,2,Топаз,24
677,5542831993,Князев,Афанасий,Матвеевич,2002-08-25,М,2021,M,2,Мустанг,62
678,5598045326,Евсеев,Иннокентий,Филатович,1982-05-21,М,2015,А,2,Учебка,89
679,4201007924,Сорокина,Лариса,Ивановна,1970-08-25,Ж,2020,А,5,Мастер-класс,49
680,0251887283,Осипова,Юлия,Павловна,1993-03-31,Ж,2019,M,1,Онега,68
681,8292454151,Коновалова,Синклитикия,Андреевна,1983-06-10,Ж,2017,А,5,Фортуна,99
682,3271257381,Горшков,Валерьян,Ильич,1988-02-20,М,2012,А,1,Хочу рулить,9
683,1935998457,Доронин,Нифонт,Давыдович,1970-01-29,М,1997,M,4,Евродрайв,83
684,6994846357,Романова,Юлия,Игоревна,2002-05-23,Ж,2021,А,4,Главная дорога,6
685,4621983789,Семенов,Любомир,Димитриевич,1981-04-04,М,2007,M,2,Эксперт,53
686,6688417973,Ильина,Ульяна,Яковлевна,1957-03-12,Ж,1997,А,5,Чайка,19
687,8176422786,Самойлов,Эраст,Марсович,1978-08-06,М,2009,А,2,Академия вождения,50
688,6227837050,Артемьев,Никон,Ефремович,1978-08-08,М,2021,А,2,Экипаж,46
689,2680148091,Капустина,Анастасия,Валериевна,1976-08-18,Ж,2013,M,3,Добрый путь,49
690,2877278403,Шарапова,Виктория,Борисовна,2003-01-21,Ж,2021,А,5,Навигатор,46
691,5759666006,Петухов,Семен,Игоревич,1957-07-18,М,1985,А,4,Виртуоз,63
692,3868631487,Емельянова,Виктория,Никифоровна,1957-09-16,Ж,1992,А,2,Дебют,59
693,9662886167,Доронин,Касьян,Феликсович,1965-09-24,М,1994,А,2,Дорожная Азбука,32
694,6236766657,Громов,Ираклий,Терентьевич,1996-06-26,М,2014,M,4,Тутти плюс,26
695,0646356541,Емельянова,Ольга,Мироновна,1989-09-12,Ж,2021,M,5,Конкорд,99
696,0736130224,Фокина,Елена,Руслановна,1966-11-12,Ж,2015,M,2,Престиж,66
697,3109249341,Алексеева,София,Николаевна,1962-08-31,Ж,1985,M,2,Автолайн,30
698,4010804006,Сысоев,Мариан,Яковлевич,2001-02-26,М,2021,А,3,Аверс,11
699,5999744657,Ершова,Лидия,Ильинична,1972-09-27,Ж,2011,M,2,Меркурий,89
700,2632594883,Волков,Роман,Федосеевич,1953-05-09,М,2012,M,5,Евродрайв,64
701,8837723735,Носов,Аскольд,Владиленович,1979-04-29,М,2001,А,3,Маневр,19
702,3408773967,Стрелков,Фадей,Артурович,1965-01-21,М,1994,M,2,Хочу рулить,26
703,8323834794,Буров,Емельян,Венедиктович,1978-02-06,М,2016,А,5,Жигули,17
704,6548340081,Кириллов,Константин,Анатольевич,2003-08-04,М,2021,А,5,Мастер-класс,69
705,1276724641,Туров,Ираклий,Давидович,2000-09-15,М,2019,M,5,Шумахер,78
706,3698602215,Поляков,Борис,Валентинович,1955-07-13,М,2005,А,1,Новый вираж,87
707,8901583722,Князева,Любовь,Валентиновна,1960-12-12,Ж,2006,M,1,Кристалл,52
708,3890909818,Якушев,Федосий,Артурович,1984-10-12,М,2013,А,1,Автоотличник,91
709,3616150056,Давыдова,Агата,Степановна,1980-10-29,Ж,1999,А,4,Дилижанс,44
710,2661471250,Смирнова,Нонна,Оскаровна,1994-07-12,Ж,2015,M,1,Лучший водитель,77
711,0133091615,Дорофеева,Светлана,Леоновна,1983-04-04,Ж,2004,M,4,Автоправо,4
712,9877447916,Тимофеев,Всеволод,Александрович,1988-02-10,М,2020,А,1,Пульс,63
713,5210308702,Исаев,Иосиф,Елисеевич,1974-10-27,М,2001,M,3,Онега,25
714,8896493786,Ефимов,Валентин,Валерьянович,1989-08-19,М,2013,M,1,Априори,32
715,1417675491,Рыбакова,Милица,Васильевна,1976-06-03,Ж,2021,M,3,Город,87
716,8163714165,Елисеева,Татьяна,Борисовна,1980-07-05,Ж,2002,M,1,Армада,65
717,0484668076,Устинов,Яков,Феликсович,1962-03-12,М,1990,А,3,Аверс,39
718,2221245488,Денисов,Петр,Алексеевич,1972-08-17,М,2005,M,5,Перекресток,45
719,4143566819,Назаров,Натан,Аксёнович,1991-05-17,М,2020,M,2,АвтоАс,32
720,2282091263,Николаев,Никита,Ермилович,1990-11-24,М,2009,А,2,АвтоСити,86
721,9945426489,Николаев,Авдей,Германович,1963-07-23,М,2017,А,4,Движение,19
722,6487583862,Фролова,Прасковья,Филипповна,1985-02-01,Ж,2007,M,1,Фортуна,38
723,9993218487,Вишняков,Прокл,Ефимьевич,1955-04-10,М,2018,А,3,Автофакультет,92
724,5416188960,Фомичева,Милица,Андреевна,1968-08-30,Ж,1987,M,4,Мир,41
725,0103300107,Гущин,Прокл,Иосифович,1963-11-22,М,2008,А,2,Штурман,48
726,7811326335,Орехова,Любовь,Павловна,1991-12-20,Ж,2017,А,4,Вектор,87
727,2956912250,Мельников,Амос,Теймуразович,1972-11-25,М,2009,А,5,Перекресток,55
728,7805591140,Горбунов,Епифан,Анисимович,1982-10-03,М,2006,А,2,Навигатор,14
729,0335402162,Стрелков,Евлампий,Григорьевич,1994-05-02,М,2020,M,1,Авто-Навык,52
730,0779876610,Хохлова,Вероника,Богдановна,1971-03-29,Ж,2003,А,5,Луч,7
731,4743822945,Денисова,Феврония,Оскаровна,1951-12-15,Ж,1980,А,5,Вершина,99
732,6581074313,Бобылев,Спиридон,Ааронович,1991-04-04,М,2017,M,2,Крутой поворот,25
733,5945081828,Пестова,Марфа,Ильинична,1976-12-09,Ж,2004,M,1,Автолайн,92
734,3711247923,Юдина,Эмилия,Наумовна,1979-02-20,Ж,2006,M,2,Автолидер,12
735,5975189259,Маслов,Карп,Даниилович,1990-01-19,М,2013,M,3,Антей,99
736,9737846172,Поляков,Ким,Демьянович,1979-11-04,М,2004,M,3,Норд-Вест,47
737,5404397896,Ефимов,Юрий,Жоресович,1959-11-15,М,2008,M,4,Новые горизонты,66
738,3466202289,Фролова,Ксения,Захаровна,1993-10-26,Ж,2015,M,5,Перспектива,59
739,6227698496,Яковлев,Трифон,Викторович,1965-05-14,М,2007,А,3,Автомиг,29
740,1258414797,Рябова,Тамара,Матвеевна,1957-07-09,Ж,1979,M,3,Автофакультет,17
741,8079731982,Князева,Варвара,Афанасьевна,1993-03-06,Ж,2021,А,2,Ментор,3
742,1605758930,Киселева,Нонна,Эльдаровна,1960-12-13,Ж,2007,А,3,Автомиг,53
743,8150277508,Белякова,Регина,Кузьминична,2002-09-13,Ж,2020,А,3,Клаксон,60
744,2913017891,Кузьмина,Ксения,Юльевна,1976-03-05,Ж,2011,А,2,Аверс,71
745,2349302619,Крылова,Раиса,Никифоровна,1988-11-21,Ж,2020,А,5,Вектор,65
746,4022118946,Гусева,Евгения,Афанасьевна,1960-09-15,Ж,1987,А,5,Гарант,16
747,2279195527,Романова,Ксения,Яковлевна,1996-03-13,Ж,2021,А,5,Автолюбитель,86
748,9281278580,Воронцов,Амос,Измаилович,1951-11-19,М,2013,M,1,Фаворит,45
749,0699079577,Вишняков,Лучезар,Ефимьевич,1980-03-17,М,2007,M,1,Центральная автошкола,59
750,1775878184,Зимин,Устин,Валентинович,1979-04-22,М,2010,А,2,Адреналин Драйв,20
751,8489065578,Архипова,Фёкла,Мироновна,2000-09-23,Ж,2019,M,2,Старт,64
752,2217224874,Калашникова,Евпраксия,Оскаровна,1959-04-13,Ж,1991,А,5,Универсал,41
753,3064014868,Лукина,Маргарита,Антоновна,1996-10-10,Ж,2017,А,4,Дебют,73
754,8793159861,Рожкова,Алла,Леоновна,1960-02-17,Ж,2019,А,3,За рулем,52
755,3521668041,Громова,Олимпиада,Евгеньевна,1951-03-29,Ж,1970,M,1,Хайвэй,27
756,7858965776,Максимов,Лев,Гаврилович,1992-02-20,М,2018,M,1,Шумахер,9
757,8184696147,Волкова,Пелагея,Робертовна,1980-10-28,Ж,2002,M,3,Автоправо,8
758,8766888725,Ковалева,Ольга,Васильевна,1982-01-03,Ж,2021,А,1,Восток-ралли,44
759,7899627340,Наумова,Светлана,Андреевна,1965-05-21,Ж,1986,M,1,Звездный мост,1
760,3428207553,Гурьев,Елисей,Давыдович,1990-06-21,М,2018,M,2,Продвинутый водитель,19
761,4750676121,Корнилова,Евдокия,Павловна,1963-02-02,Ж,1991,M,4,Лучший водитель,21
762,7528905282,Тихонова,Октябрина,Тарасовна,1957-03-10,Ж,1997,M,4,Авто-Премиум,18
763,2817068635,Бобылева,Анжела,Афанасьевна,1966-06-01,Ж,2009,А,3,Филин,72
764,1719412854,Силина,Татьяна,Робертовна,1992-04-19,Ж,2015,А,4,Эксперт,77
765,2031916322,Гуляев,Валерьян,Григорьевич,1979-08-20,М,2001,M,5,А-Класс,58
766,3677908049,Субботин,Аполлинарий,Зиновьевич,1968-04-15,М,1997,А,4,Ягуар,66
767,6029105408,Копылов,Филипп,Дорофеевич,1984-11-16,М,2002,M,5,Бэст,91
768,6474243217,Колобова,Лариса,Артемовна,1983-10-17,Ж,2005,M,4,Пора за руль,92
769,0752366862,Лапина,Варвара,Ниловна,1968-07-26,Ж,1991,А,4,Дебют,33
770,5890758838,Фадеева,Ираида,Тарасовна,1976-06-26,Ж,1994,А,5,Бэст,51
771,3704066501,Васильев,Кирилл,Яковлевич,1984-11-29,М,2002,M,5,Правый руль,71
772,8528990628,Рогов,Валентин,Ефимович,2001-12-30,М,2020,А,5,Новая Автошкола,65
773,7384839397,Михеева,Алина,Львовна,1961-04-24,Ж,2009,А,5,Бумеранг,26
774,6809322416,Рогов,Аверьян,Анисимович,1968-11-18,М,2005,M,1,Победа,65
775,4816837136,Михайлова,Фаина,Аскольдовна,1950-10-27,Ж,2013,А,5,Автобан,40
776,3777199130,Авдеев,Савва,Эдуардович,1981-10-24,М,2010,А,5,Стрела,7
777,0741574488,Дроздов,Агап,Гавриилович,1987-01-17,М,2021,M,3,Маршрут,36
778,7483083182,Игнатьева,Нинель,Матвеевна,1980-10-13,Ж,2013,M,1,Армада,45
779,1784385520,Кошелева,Валерия,Юрьевна,1990-10-08,Ж,2008,А,2,Новая Автошкола,70
780,2602426977,Кондратьев,Михаил,Денисович,1977-10-25,М,2010,А,4,Коррэктъ,35
781,5918264549,Егорова,Ольга,Вячеславовна,1963-04-29,Ж,1992,А,3,Антей,44
782,6728835657,Носов,Кондрат,Геннадиевич,1987-08-15,М,2013,А,2,АвтоАс,30
783,3995062268,Данилов,Лаврентий,Яковлевич,1975-01-11,М,1998,M,1,Стажер,83
784,6074924532,Белоусов,Виссарион,Васильевич,1984-12-29,М,2010,M,1,Ментор,74
785,6135040784,Воронова,Милица,Вениаминовна,1988-03-14,Ж,2016,А,5,Ментор,6
786,1594698205,Матвеев,Бажен,Филиппович,1977-03-12,М,1999,А,3,Ермак,13
787,0502657408,Потапова,Тамара,Ждановна,1965-05-28,Ж,2003,M,4,Приоритет,45
788,3791615941,Громова,Любовь,Юльевна,1992-04-05,Ж,2015,M,3,Авто-Механика,68
789,9703041081,Калашников,Герасим,Феоктистович,1968-03-10,М,1992,M,4,Автоперекресток,86
790,9077422676,Ермакова,Эмилия,Ниловна,1975-11-30,Ж,1997,А,2,Пульс,33
791,2218969373,Беляев,Тихон,Ефремович,1963-03-26,М,1992,А,5,Автоэлита,54
792,6329304415,Голубева,Эмилия,Матвеевна,1968-01-29,Ж,2020,А,1,Близкое расстояние,24
793,4342926063,Афанасьев,Лаврентий,Валерьевич,1958-01-19,М,2012,M,3,Добрый путь,18
794,4284992852,Трофимов,Азарий,Чеславович,1974-01-21,М,2006,А,2,Альтернатива,5
795,5768232885,Дьячкова,Глафира,Аскольдовна,1973-02-04,Ж,1992,M,4,Автодрайвер,61
796,5981203300,Фомичев,Федор,Фомич,1998-12-22,М,2017,А,2,Формула скорости,30
797,4605305167,Волков,Георгий,Вилорович,1990-11-19,М,2013,А,4,Автомобилист,30
798,6824355521,Ковалева,Вероника,Болеславовна,1991-01-06,Ж,2016,M,4,Профессионал,4
799,3726889866,Наумов,Тарас,Дорофеевич,1970-02-12,М,1990,M,2,Дакар,58
800,7417692666,Мухина,Ирина,Федоровна,1951-10-05,Ж,1970,M,3,Автоштурман,52
801,5866307135,Селезнев,Зиновий,Ярославович,1978-05-18,М,2021,M,1,Молодость,10
802,7027676186,Исакова,Елена,Ивановна,2000-06-17,Ж,2020,А,4,Курсант,63
803,9596114569,Кудряшов,Нестор,Геннадиевич,1991-02-02,М,2017,А,2,Успех,29
804,9109559395,Соболев,Пантелеймон,Демьянович,1975-03-01,М,2012,А,5,Автоправо,41
805,6118266351,Соколов,Капитон,Ефимьевич,1982-06-26,М,2016,M,4,Авто-Лада,50
